51;a;b
52;c;d
01;Léonie;Forestier
02;Guarin;Sauvageot
03;Norbert;Cloutier
04;Aloys;Paquet
05;Rosette;Blanchet
06;Benoît;Bernard
07;Garland;Moreau
08;Jacinthe;Martin
09;Aceline;Deniau
10;Nina;Daniau
11;Anette;Royer
12;Denise;Bonnay
13;Noëlle;Monet
14;Mahaut;Gosse
15;Bathylle;Savatier
16;Léonois;Adam
17;Raymonde;Richard
18;Marrok;Albert
19;Angèle;Fosse
20;Ouida;Tremble
21;Renée;Marie
22;Morgaine;Faucheux
23;Gilbertine;Paquet
24;Lottie;Tasse
25;Micheline;Bourreau
26;Joëlle;Fournier
27;Caroline;Thayer
28;Anastasie;Sartre
29;Dionne;Villeneuve
30;Clementine;Lémieux
31;Napoleon;Laurent
32;Vivienne;Belmont
33;Godard;Villeneuve
34;Ange;Rome
35;Bérénice;Palomer
36;Margaux;Favreau
37;Emmanuel;Faure
38;Roland;Plourde
39;Zoé;Gagnon
40;Maximilienne;François
41;Orianne;Joubert
42;Esmé;Legrand
43;Didier;Rose
44;Sylvie;Bret
45;Éloi;Gagneux
46;Liane;Paternoster
47;Nina;Hébert
48;Pascal;David
49;Anouk;Degarmo
50;Christia;Romilly
